ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
2a6447df24aa1988609f4c2e810a3ff644cfb05e238f408df491be817a592d4f,https://www.snap.com/political-ads/asset/b0c84fb8149854b45897e231c36ad3368896f201cbb27971e9480ae04cdba0fe?mediaType=jpg,USD,325,123822,2020/01/30 00:16:51Z,2020/02/11 17:59:00Z,BCom Solutions,"919 Central Ave,Auburn,68305,US",,Great Schools for Great Kids,,18+,united states,,,,,,,,,"68501,68505,68509,68516,68523,68528,68583,68502,68506,68510,68520,68524,68529,68588,68503,68507,68512,68521,68526,68542,68504,68508,68514,68522,68527,68544",,,,,,Provided by Advertiser,,"College Graduates,Married People,Moms,New Parents,Parents,Occupation (Legal, Education or Health),Education (Bachelor Degree),Education (Graduate Degree),Education (High School Diploma),Education (Some College),Education (Some High School),Presence of Child (Age: 0-3),Presence of Child (Age: 10-12),Presence of Child (Age: 13-15),Presence of Child (Age: 16-18),Presence of Child (Age: 4-6),Presence of Child (Age: 7-9),New Moms",,,web_view_url:https://greatschoolslnk.org/
1b84b160fa840c71758a3d16dde1160091452d62f9b7b7a38841b54d6a49027c,https://www.snap.com/political-ads/asset/3e58daabda89d0dfa991895b440eee4d30df2bddd77fac511ee8ff4d0c5d57c5?mediaType=jpg,USD,959,506356,2020/01/08 00:18:39Z,2020/03/04 05:59:59Z,Eric Garza,US,Eric Garza,Eric Garza,,18-35,united states,,,,,,,,,"78521,78520,78523,78522,78535,78526,78550,78552,78551,78553,78559,78567,78566,78568,78575,78578,78583,78586,78592,78593,78597",,,,,,Provided by Advertiser,en,,,,web_view_url:https://ericgarzaforsheriff.com/
b2dd21d73afae97f8c95fa96a8b138b1c6c68014884820a13f08582847f46e43,https://www.snap.com/political-ads/asset/bd6eae98b15b99d286a8d91f065da4a2634a4e43888751b04d0d2a79e1a6d73e?mediaType=mp4,AUD,23,2061,2020/03/10 21:00:00Z,2020/03/27 12:00:00Z,The Media Precinct,"L4, 10 Kensington Street,Chippendale,2008,AU",Rachel Gallagher,Rachel Gallagher,,35+,australia,,,,,,,,,"4101,4012,4169",,,,,,Provided by Advertiser,,,,,web_view_url:https://www.rachelgallagher.com.au/?utm_source=tmp&utm_campaign=gabba_2020&utm_medium=snapchat&utm_content=march
fbeb4149db3a6939265b971f8faf78c56499b6fe3c00ea89539e22b72e777eb1,https://www.snap.com/political-ads/asset/a6fbf5e9df9e5da333b7290b2fc06c7f9e1c9da978f35bf113b835acb155bf5d?mediaType=jpg,USD,106,108847,2020/02/20 08:01:13Z,,"D-Squared Commerce, LLC",US,,"D-Squared Commerce, LLC",,35-,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://prezzyflipflops.com/?utm_source=snapchat&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_term={{adSet.name}}&utm_content=static-ce-v1
9dbcc8634f735cc0c94c0a0c095964d41672570e2739d77592bae9f52735da56,https://www.snap.com/political-ads/asset/338ceabd566b70d7389209ef2f7882a66bd6dcd9f9280454bab9ff9087fc6f9c?mediaType=png,USD,146,15768,2020/02/06 06:17:22Z,2020/03/04 00:30:00Z,Lockwood Strategy,US,,PACRONYM,,18+,united states,North Carolina,,,,,,,,,,,,,,,,,,,web_view_url:https://gtfo.civicengine.com/pledge?utm_source=snap&utm_medium=paid-cnv&utm_campaign=gtfo&utm_term=nc-ptv-v&utm_content=C2D53CBB
eec87b6ab9b74dc886c6dcc9dc62ebdfd50f6dff4bb25db9055d0cd170f35a12,https://www.snap.com/political-ads/asset/d5d0cae8b57dacd377cfa93b977c07cf2820efdab25757cd4a7c4f70047bdb6c?mediaType=jpeg,GBP,15,18164,2020/03/11 17:05:32Z,2020/03/13 12:59:59Z,Wadher For Welfare,GB,,Niraj Wadher,,17-32,united kingdom,Swansea,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://wadherforwelfare.wixsite.com/website
d05ae81c04aa60337399602ef712533dc92daea255cdd5c1f4dba72244aba039,https://www.snap.com/political-ads/asset/425480056ebf64821d94839afef4c72785b68ff0616ed142d24728ad84c84336?mediaType=mp4,EUR,0,1260,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Donegal,Galway,Leitrim,Longford,Mayo,Roscommon,Sligo,Westmeath",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
d2ab717520d01f95dbd836aa775771430d479c089d99d7ee27c0fc90a0e270ef,https://www.snap.com/political-ads/asset/f9a587eff9532193f69034cbd51152a79e7ab024041cad0259d925ca37abf459?mediaType=png,USD,0,476,2020/02/08 17:30:06Z,,"D-Squared Commerce, LLC",US,,"D-Squared Commerce, LLC",,18-35,united states,,,,,,,,,,,,,"Advocates & Activists,Collegiates,High Schoolers,Hipsters & Trendsetters,Meme Watchers,Political News Watchers,Footwear Shoppers,Back to College High Spenders,Home Movie Viewers (Comedy),TV Network Viewers (FOX News Channel)",,,,,,,web_view_url:https://prezzyflipflops.com/?utm_source=snapchat&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_term={{adSet.name}}&utm_content=static-ce-v2
db8434b739957ab796be0fbd6d0c143143127e5d86fc27818fe3daad6d097927,https://www.snap.com/political-ads/asset/2a546e20871e0ac94748e55942773f57d294c83ecceb03a09f9fb50b26b404b8?mediaType=mp4,USD,50,29885,2020/01/03 16:24:16Z,2020/02/12 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,17+,united states,New Hampshire,,,,,,,,,,,,,,,,,,,web_view_url:https://www.seacoastonline.com/news/20200103/pete-buttigiegs-plea-for-unity-strikes-chord
27a76aa1a6b602ad7a9a86e5e604d8ee627860eb3a3bc56442eafbd613d8408b,https://www.snap.com/political-ads/asset/a2869873b2023a2446961351bf71ee515d7b0b7f9f375af273c965734642eb79?mediaType=mp4,USD,464,194987,2020/01/03 16:24:16Z,2020/02/12 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,17+,united states,New Hampshire,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://newrepublic.com/article/155246/pete-buttigiegs-undeniable-allure
